n_clusters,covariance_type,n_init,max_iter,model_type,model,silhouette,calinski_harabasz,davies_bouldin,composite_score
3,full,10,200,gmm,GMM_n_clusters3_covariance_typefull_n_init10_max_iter200,0.25443281946424484,1269.2175703642538,1.533831265939493,0.67311576305708
3,tied,10,200,gmm,GMM_n_clusters3_covariance_typetied_n_init10_max_iter200,0.25443281946424484,1269.2175703642538,1.533831265939493,0.67311576305708
3,diag,10,200,gmm,GMM_n_clusters3_covariance_typediag_n_init10_max_iter200,0.25443281946424484,1269.2175703642538,1.533831265939493,0.67311576305708
3,spherical,10,200,gmm,GMM_n_clusters3_covariance_typespherical_n_init10_max_iter200,0.25393977948893076,1261.6471858618354,1.541184109054966,0.6693832009225
4,tied,10,200,gmm,GMM_n_clusters4_covariance_typetied_n_init10_max_iter200,0.2651883761328955,986.3150015518291,1.2771337755711039,0.6046360303403688
4,spherical,10,200,gmm,GMM_n_clusters4_covariance_typespherical_n_init10_max_iter200,0.20421277640013188,966.2947450824855,1.7421332727383168,0.5211552793169871
6,tied,10,200,gmm,GMM_n_clusters6_covariance_typetied_n_init10_max_iter200,0.23763020525278108,774.371238236723,1.6619757988449264,0.4746536272903884
5,tied,10,200,gmm,GMM_n_clusters5_covariance_typetied_n_init10_max_iter200,0.2269171464588946,851.8213574163502,1.9200438802961641,0.4693290287724787
6,spherical,10,200,gmm,GMM_n_clusters6_covariance_typespherical_n_init10_max_iter200,0.1906396905925072,812.2757917772058,1.8498222358960605,0.4484777908104325
5,spherical,10,200,gmm,GMM_n_clusters5_covariance_typespherical_n_init10_max_iter200,0.17401489245297014,851.259372654741,2.0168265340960336,0.4371619322751852
8,spherical,10,200,gmm,GMM_n_clusters8_covariance_typespherical_n_init10_max_iter200,0.18480835451891248,724.982335628489,1.7119581913010729,0.43023572470422333
4,diag,10,200,gmm,GMM_n_clusters4_covariance_typediag_n_init10_max_iter200,0.21204964517154223,876.1477324676156,2.4594404083823638,0.41188713847870223
7,spherical,10,200,gmm,GMM_n_clusters7_covariance_typespherical_n_init10_max_iter200,0.17385296222898505,652.4849849894255,2.0650769207220105,0.3604367598849
4,full,10,200,gmm,GMM_n_clusters4_covariance_typefull_n_init10_max_iter200,0.18518118707374276,863.9777794692869,3.140571680014351,0.32073543575332863
7,tied,10,200,gmm,GMM_n_clusters7_covariance_typetied_n_init10_max_iter200,0.1428565911878725,657.9773118518601,2.730953278627742,0.2756700280480297
8,tied,10,200,gmm,GMM_n_clusters8_covariance_typetied_n_init10_max_iter200,0.1356012206122438,579.9724924611417,2.5448132974225963,0.2655784010560543
6,diag,10,200,gmm,GMM_n_clusters6_covariance_typediag_n_init10_max_iter200,0.16147205812828463,648.9390221356314,3.187386448940456,0.2289197998784696
5,diag,10,200,gmm,GMM_n_clusters5_covariance_typediag_n_init10_max_iter200,0.14388328235201145,671.5342365803212,3.435401698436972,0.2022980804681342
7,diag,10,200,gmm,GMM_n_clusters7_covariance_typediag_n_init10_max_iter200,0.12064949091035906,564.1297686812957,3.1288935015044186,0.1887111094182708
7,full,10,200,gmm,GMM_n_clusters7_covariance_typefull_n_init10_max_iter200,0.13889963377254638,557.6196094511469,3.266649234238735,0.17829797714110734
5,full,10,200,gmm,GMM_n_clusters5_covariance_typefull_n_init10_max_iter200,0.11610136423203234,668.0427575184,3.87303590811848,0.1410764883440458
8,full,10,200,gmm,GMM_n_clusters8_covariance_typefull_n_init10_max_iter200,0.12031960452263235,432.5521574912131,3.249163837338178,0.12797304148453287
8,diag,10,200,gmm,GMM_n_clusters8_covariance_typediag_n_init10_max_iter200,0.09249817373894768,488.60145740019374,3.4894448543979735,0.11011720623092792
6,full,10,200,gmm,GMM_n_clusters6_covariance_typefull_n_init10_max_iter200,0.08165939083050942,553.6707141915568,3.9643748334906164,0.07609278596703684
